date,price(USD)
5/12/2017,29.61
5/13/2017,28.59
5/14/2017,28.51
5/15/2017,28.51
5/16/2017,27.73
5/17/2017,26.37
5/18/2017,26.98
5/19/2017,30.31
5/20/2017,31.82
5/21/2017,35.04
5/22/2017,34.8
5/23/2017,36.31
5/24/2017,56.31
5/25/2017,45.52
5/26/2017,39.81
5/27/2017,38.71
5/28/2017,33.43
5/29/2017,36.76
5/30/2017,41.29
5/31/2017,39.83
6/1/2017,41.84
6/2/2017,43.74
6/3/2017,43.99
6/4/2017,42.34
6/5/2017,42.88
6/6/2017,48.37
6/7/2017,55.29
6/8/2017,52.91
6/9/2017,56.13
6/10/2017,55.59
6/11/2017,52.37
6/12/2017,59.09
6/13/2017,49.8
6/14/2017,51.98
6/15/2017,46.24
6/16/2017,45.97
6/17/2017,48.19
6/18/2017,50.49
6/19/2017,49.62
6/20/2017,49.03
6/21/2017,48.17
6/22/2017,46.8
6/23/2017,47.45
6/24/2017,51.43
6/25/2017,47.84
6/26/2017,45.9
6/27/2017,43.49
6/28/2017,43.8
6/29/2017,47.04
6/30/2017,45.09
7/1/2017,43.71
7/2/2017,40.94
7/3/2017,42.51
7/4/2017,43.55
7/5/2017,45.3
7/6/2017,45.96
7/7/2017,50.11
7/8/2017,44.17
7/9/2017,46.69
7/10/2017,44.91
7/11/2017,40.25
7/12/2017,36.89
7/13/2017,40.43
7/14/2017,38.08
7/15/2017,35.57
7/16/2017,31.97
7/17/2017,29.47
7/18/2017,34.89
7/19/2017,36.47
7/20/2017,34.89
7/21/2017,40.55
7/22/2017,40.25
7/23/2017,44.64
7/24/2017,42.66
7/25/2017,45.55
7/26/2017,40.73
7/27/2017,45.92
7/28/2017,45.29
7/29/2017,43.69
7/30/2017,43.95
7/31/2017,39.67
8/1/2017,39.88
8/2/2017,44.08
8/3/2017,43.8
8/4/2017,43.36
8/5/2017,45.18
8/6/2017,48.57
8/7/2017,47.67
8/8/2017,50.4
8/9/2017,51.94
8/10/2017,50.94
8/11/2017,49.31
8/12/2017,50.85
8/13/2017,49.38
8/14/2017,47.69
8/15/2017,49.97
8/16/2017,48.77
8/17/2017,48.82
8/18/2017,47.37
8/19/2017,46.97
8/20/2017,55.79
8/21/2017,54.67
8/22/2017,77.99
8/23/2017,91.01
8/24/2017,90.35
8/25/2017,86.47
8/26/2017,107.46
